caminho,pasta_raiz,categoria,subcategoria,subpasta,arquivo,extensao,tipo,tamanho_bytes,hash
SQL_SERVER/querys_da_aula (1)/querys_da_aula.sql,SQL_SERVER,SQL Server,,querys_da_aula (1),querys_da_aula.sql,.sql,conteudo,769,0b82b66d721a3bbc35a38d189a80769d0dac73fe8e117e166c6a3f5ffee854c7
SQL_SERVER/querys_da_aula (10)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (10),querys_da_aula.txt,.txt,conteudo,576,21250e9df642fc027f167e0fdf8bab52071e7d8b144e155eadc14e8f4ad2c538
SQL_SERVER/querys_da_aula (11)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (11),querys_da_aula.txt,.txt,conteudo,680,1c000f6d865ee5301664d4c270cbd851c90eed2b3d723d294be1800cee583f12
SQL_SERVER/querys_da_aula (12)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (12),querys_da_aula.txt,.txt,conteudo,774,6768497be6ee3c055face5fd6c105808a052b6fb8577c4ac5b3751448198e69e
SQL_SERVER/querys_da_aula (13)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (13),querys_da_aula.txt,.txt,conteudo,881,57167c127cff51fcde5d6c2247b5b3b85a3709165ce7f6ddc6daf2ca786b8c14
SQL_SERVER/querys_da_aula (2)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (2),querys_da_aula.txt,.txt,conteudo,410,260d3f7ac3d6ac6f1de19caf2e00c010bc6f9b9dcccb2dc3610ee846703b07cb
SQL_SERVER/querys_da_aula (3)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (3),querys_da_aula.txt,.txt,conteudo,601,f39c9b701db54b53b27044f223d07a4dfb176e1a446efa387f7f653fdca91b09
SQL_SERVER/querys_da_aula (4)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (4),querys_da_aula.txt,.txt,conteudo,1072,49ebd19c43ec5c72573473a1d21b682f49e5d251b888b15a1636d92415bfa01f
SQL_SERVER/querys_da_aula (5)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (5),querys_da_aula.txt,.txt,conteudo,1395,29fcfdcbb31d7753cd996a2fa9e22752817eef321d5ab5a37c704e52c886006f
SQL_SERVER/querys_da_aula (8)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (8),querys_da_aula.txt,.txt,conteudo,615,a8da7d3776522d5448696cb8df7e46c6db263e4b4e70579e57779d91c1359195
SQL_SERVER/querys_da_aula (9)/querys_da_aula.txt,SQL_SERVER,SQL Server,,querys_da_aula (9),querys_da_aula.txt,.txt,conteudo,1798,7aff62443a20f88844f211231c6dc158c79b50679247c9f70a7293dfb468be6e
SQL_SERVER/4_TSQLServer-20260725T152615Z-1-001/4_TSQLServer/Base_Fraude.csv,SQL_SERVER,SQL Server,,4_TSQLServer-20260725T152615Z-1-001\4_TSQLServer,Base_Fraude.csv,.csv,dado,113339,7b2e523606af5817057bb945f0f02376169981ca0c25bb5a0ac9a6b6902947e1
SQL_SERVER/4_TSQLServer-20260725T152615Z-1-001/4_TSQLServer/exemplo_tabela.json,SQL_SERVER,SQL Server,,4_TSQLServer-20260725T152615Z-1-001\4_TSQLServer,exemplo_tabela.json,.json,dado,441266,5eced840e5ba029398f736e47fe3c286b43341c3f4999a9c07167ba24e386bdf
SQL_SERVER/4_TSQLServer-20260725T152750Z-1-001/4_TSQLServer/Base_Fraude.csv,SQL_SERVER,SQL Server,,4_TSQLServer-20260725T152750Z-1-001\4_TSQLServer,Base_Fraude.csv,.csv,dado,113339,7b2e523606af5817057bb945f0f02376169981ca0c25bb5a0ac9a6b6902947e1
SQL_SERVER/4_TSQLServer-20260725T152750Z-1-001/4_TSQLServer/exemplo_tabela.json,SQL_SERVER,SQL Server,,4_TSQLServer-20260725T152750Z-1-001\4_TSQLServer,exemplo_tabela.json,.json,dado,441266,5eced840e5ba029398f736e47fe3c286b43341c3f4999a9c07167ba24e386bdf
SQL_SERVER/arquivos_da_aula/arquivos_da_aula/erpx.brM3,SQL_SERVER,SQL Server,,arquivos_da_aula\arquivos_da_aula,erpx.brM3,.brm3,dado,42952,48ea2ecb27d08710b39c02968a7ac87c72d4babd7035348f9750bee2cb0410e7
SQL_SERVER/arquivos_da_aula/arquivos_da_aula/querys_necessarias.sql,SQL_SERVER,SQL Server,,arquivos_da_aula\arquivos_da_aula,querys_necessarias.sql,.sql,conteudo,3417,116c6bea93e0ff47d2624983d536ae5ed26c6159ab613fb9df7318cb585a2271
